BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93057.0567109 cm-1
	ZPE2 - ZPE1    :     -690.9218789 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
--------------------------------------------------------------------------------------------------------------------------------------------
   1   0    A   13.14    58.19873   0.45252    0.10239       1.35    A   12.37     9.25384   0.06981    0.00244       0.03    1    1   1.0000
   2   0    A   17.24    63.51090   0.56568    0.16000       2.76    A   19.85    -0.48407   0.00463    0.00001       0.00    2    2  -1.0000
   3   0    A   17.59   609.82541   5.48678   15.05236     264.78    A   24.44   176.20117   1.86860    1.74584      42.67    3    3  -1.0000
   4   0    A   21.58     1.54074   0.01535    0.00012       0.00    A   25.01  -107.60425   1.15429    0.66619      16.66    4    4   0.2567
   5   0    A   30.30    -0.04521   0.00053    0.00000       0.00    A   28.23    -0.16379   0.00187    0.00000       0.00    5    5   0.9142
   6   0    A   44.94    -0.08160   0.00117    0.00000       0.00    A   41.35     1.70137   0.02347    0.00028       0.01    6    6   0.8868
   7   1    A   51.47   -15.38982   0.23686    0.02805       1.44    A   51.12     7.42343   0.11386    0.00648       0.33    7    7  -1.0000
   8   2    A   77.56    -0.23962   0.00453    0.00001       0.00    A   73.41    -1.85725   0.03414    0.00058       0.04    8    8   0.9248
   9   3    A   98.46    -3.54119   0.07538    0.00284       0.28    A   93.23     1.45479   0.03013    0.00045       0.04    9    9   0.4334
  10   4    A  113.28    -0.00222   0.00005    0.00000       0.00    A  111.62     0.35996   0.00816    0.00003       0.00   10   10   0.9399
  11   5    A  116.52     0.05999   0.00139    0.00000       0.00    A  111.62    -1.34352   0.03045    0.00046       0.05   11   11  -1.0000
  12   6    A  123.87     3.92260   0.09366    0.00439       0.54    A  121.44    -3.80516   0.08996    0.00405       0.49   12   12   0.5871
  13   7    A  154.65    -3.65058   0.09739    0.00474       0.73    A  154.22     1.18220   0.03149    0.00050       0.08   13   13   1.0000
  14   8    A  158.94    -0.02768   0.00075    0.00000       0.00    A  157.75     0.03003   0.00081    0.00000       0.00   14   14   0.9961
  15   9    A  170.51    -3.62482   0.10154    0.00516       0.88    A  169.27    -3.42935   0.09571    0.00458       0.78   15   15  -0.9951
  16  10    A  196.74    -0.04259   0.00128    0.00000       0.00    A  201.44     0.39904   0.01215    0.00007       0.01   16   16   1.0000
  17  11    A  254.11    -0.00392   0.00013    0.00000       0.00    A  253.24     0.00520   0.00018    0.00000       0.00   17   17   0.9979
  18  12    A  259.29     2.18948   0.07563    0.00286       0.74    A  263.68     0.09852   0.00343    0.00001       0.00   18   18  -1.0000
  19  13    A  271.96    -0.02706   0.00096    0.00000       0.00    A  264.27     0.47232   0.01647    0.00014       0.04   19   19  -0.0045
  20  14    A  284.89     0.99365   0.03598    0.00065       0.18    A  296.95    -0.50575   0.01870    0.00017       0.05   20   20   0.1186
