BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93273.3384473 cm-1
	ZPE2 - ZPE1    :     -474.6401425 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
--------------------------------------------------------------------------------------------------------------------------------------------
   1   0    A   13.14    -2.34155   0.01821    0.00017       0.00    A   10.32    -2.68325   0.01849    0.00017       0.00    1    1   1.0000
   2   0    A   17.24   -11.10752   0.09893    0.00489       0.08    A   22.05    20.02472   0.20172    0.02034       0.45    2    2  -1.0000
   3   0    A   17.59   -23.22005   0.20892    0.02182       0.38    A   28.66  -123.97667   1.42376    1.01354      29.05    3    3   1.0000
   4   0    A   21.58   -19.44615   0.19378    0.01878       0.41    A   29.18   -38.85923   0.45034    0.10140       2.96    4    4  -0.1631
   5   0    A   30.30     0.11016   0.00130    0.00000       0.00    A   30.81    -1.22495   0.01459    0.00011       0.00    5    5  -0.9840
   6   0    A   44.94     0.00178   0.00003    0.00000       0.00    A   40.59    -1.77191   0.02422    0.00029       0.01    6    6  -0.7451
   7   1    A   51.47     0.59260   0.00912    0.00004       0.00    A   49.27     2.41715   0.03640    0.00066       0.03    7    7   1.0000
   8   2    A   77.56    -0.03648   0.00069    0.00000       0.00    A   71.93    -0.82002   0.01492    0.00011       0.01    8    8   1.0000
   9   3    A   98.46    -0.13713   0.00292    0.00000       0.00    A   91.99     0.53101   0.01093    0.00006       0.01    9    9   1.0000
